doc,dt,pid,texto,n_palavras
202201,2022-01-01,1,Nota para a Imprensa – 28.01.2022 1. Crédito ampliado ao setor não financeiro,13
202201,2022-01-01,2,"Em 2021, o saldo do crédito ampliado ao setor não financeiro alcançou R$13, 6 trilhões ( 156,9% do PIB), aumento de 13,9% no ano, ante 16,8% em 2020, destacando -se os crescimentos dos empréstimos do sistema financeiro nacional (SFN), 16,3%, e dos títulos públicos, 10,6%. No mês de dezembro, o crédito ampliado ao setor não financeiro cresceu 1,7% , com o s empréstimos e financiamentos e os títulos de dívida variando 1,8% e 2, 4%, respectivamente. O crédito ampliado à s empresas atingiu R$4, 7 trilhões em 2021 (54,3% do PIB ), com a expansão de 14,2% no ano representando desaceler ação em relação a 2020 (18,7%). Contribuíram para essa desaceleração as variações dos empréstimos do SFN (21,6%, em 2020, e 11,6%, em 2021) e dos empréstimos externos (25,5% e 8,1%). O mercado de capitais privado contrabalançou, parcialmente, essa tendência, c om aceleração de -0,5% em 2020 para 35, 2% em 2021. Em dezembro, o crédito ampliado a empresas cresceu 1,5%, influenciad o principalmente pelo s aumento s de 2,6% nos empréstimos e financiamentos e de 3,1% nos títulos de dívida . O crédito ampliado às famílias alcançou R$2,9 trilhões (33,9% do PIB) em 2021, com sua taxa de crescimento no ano, 20,0% acelerando em relação à do ano anterior (10,8%). Em dezembro houve expansão de 1,6% no mês , em função da expansão dos empréstimos do SF N.",229
202201,2022-01-01,3,2. Operações de crédito do Sistema Financeiro Nacional (SFN),9
202201,2022-01-01,4,"O volume de crédito do SFN alcançou R$4,7 trilhões em 2021, aumento de 16,5% no ano, acelera ndo ante a variação de 15,6% no ano anterior. O crédito a empresas variou 11,1%, desaceleração ante 21,8% em 2020. O crédito às famílias cresceu 20,8%, acelerando ante 11,2% em 2020. Em dezembro , o crédito total variou 1,9% com aumentos de 2,3% na carteira de pessoas jurídicas e de 1,7 % na carteira de pessoas físicas. Em 2021, o créd ito livre para pessoas jurídicas alcançou R$1, 3 trilhão, expansão de 18,3% no ano, desacelerando após um crescimento de 21,2% em 2020. Destacam -se os crescimentos nas modalidades de duplicatas e antecipação de faturas de cartão , conta garantida, aquisição de veículos e ACC . Destaquese, também, a redução na modalidade de capital de giro até 365 dias, compensada pelo fortalecimento da modalidade acima de 365 dias. Em dezembro houve expansão de 3,6 % no crédito livre a empresas, -50510152025 dez 19 fev 20 abr 20 jun 20 ago 20 out 20 dez 20 fev 21 abr 21 jun 21 ago 21 out 21 dez 21%Saldos de crédito -Variação em 12 meses Total Pessoa Jurídica Pessoa Física",195
202201,2022-01-01,5,"Nota para a Imprensa – 28.01.2022 com destaque para des conto de duplicatas e recebíveis, antecipação de faturas de cartão, aquisição de veículos , aquisição de outros bens e financiamento a exportações.",32
202201,2022-01-01,6,"O crédito livre às famílias atingiu R$ 1,5 trilhão, apresentando aceleração ao crescer 22,8% em 2021, após crescimento de 10,8% em 2020. Destacam- se a expansão das modalidades crédito pessoal, aquisição de veículos e operações com cartão de crédito. Em dezembro, houve expansão de 1,9%, com desta que para as mesmas modalidades .",53
202201,2022-01-01,7,"Em 2021, o crédito direcionado atingiu R$ 1, 9 trilhão , elevação de 10,8% no ano , desacelerando após crescimento de 15,9% em 2020. O comportamento foi bastante desigual entre pessoas jurídicas e físicas: enquanto as primeiras apresent aram retração de 0,3% no ano (apó s expansão de 22,8% em 2020), as famílias apresent aram crescimento de 18,4% (após alta de 11,7% no ano anterior). No mês, o crédito direcionado variou 0,9%, com crescimento de 1,4% para pessoas físicas e estabilidade para empresas. As concessões de crédit o acumuladas no ano cresceram 19,0% em 2021, ante 5,3% no ano anterior. A s contratações com empresas cresceram 15,1% no ano ( 10,9% em 2020) e as com pessoas físicas avançaram 22,6% em 2021 (de 0,6% em 2020). Em dezembro, as concessões s omaram R$ 497 bilhões , apresentando retração dessazonalizada de 12,1% , com quedas tanto em pessoas jurídicas, - 6,6% , quanto nas pessoas físicas, 9,3% .",157
202201,2022-01-01,8,"O Indicador de Custo do Crédito (ICC), que mede o custo médio de todo o crédito do SFN, atingiu 18,4% a.a., elevando -se 0, 1 p.p. no mês e 1, 6 p.p. n o ano . No crédito livre não rotativo, o ICC situou -se em 24, 3% a.a., variações de 0, 2 p.p. em dezembro e de 1, 9 p.p. em 2021. O spread geral do ICC permaneceu estável no mês, em 12, 4 p.p., o que representou elevação interanual de 0,5 p.p.",84
202201,2022-01-01,9,"A taxa média de juros das contratações finalizou o ano de 2021 em 24,4% a.a., elevação de 6,0 p.p. após redução de 4,2 p.p. em 2020. O spread geral das taxas de juros das concessões situou -se em 1 5,8 p.p., aumento de 1,4 p.p. em 2021 após redução de 3,4 p.p. em 2020. No mês, os indicadores cresceram 0,4 p.p. e 0,5 p.p., respectivamente. No crédito livre, a taxa de juros atingiu 3 3,9% a.a. em d ezembro de 2021, elevaç ão de 8,4 p.p. no ano. No crédito livre às empresas, a taxa média de juros situou -se em 20, 0% a.a. , aumento de 8,4 p.p. no ano , destacando -se elevaç ões em capital de giro de longo prazo (+ 9,1 p.p.) , desconto de duplicatas e recebíveis 1416182022242628 dez 19 fev 20 abr 20 jun 20 ago 20 out 20 dez 20 fev 21 abr 21 jun 21 ago 21 out 21 dez 21% a.a.ICC e taxas de juros do crédito livre (exclui crédito rotativo) ICC ex-rotativo - Livres Taxas de juros ex-rotativo - Livres",180
202201,2022-01-01,10,"Nota para a Imprensa – 28.01.2022 (+6,3 p.p.), financiamento a exportações (+ 7,7 p.p.) e aquisição de veículos (+ 6,8 p.p.) . No crédito livre a pessoas físicas, a taxa de juros alcanç ou 45,1% a.a., elevação de 7,9 p.p. no ano, com destaque para o aumento em crédito pessoal não consignado (+10,8 p.p.) e aquisição de veículos ( +7,6 p.p.).",61
